2022-11-12 19:50:39 upgrade libmutter-10-0:arm64 42.2-0ubuntu1 42.5-0ubuntu1
2022-11-12 19:50:39 status triggers-pending libc-bin:arm64 2.35-0ubuntu3.1
2022-11-12 19:50:39 status half-configured libmutter-10-0:arm64 42.2-0ubuntu1
2022-11-12 19:50:39 status unpacked libmutter-10-0:arm64 42.2-0ubuntu1
2022-11-12 19:50:39 status half-installed libmutter-10-0:arm64 42.2-0ubuntu1
2022-11-12 19:50:39 status unpacked libmutter-10-0:arm64 42.5-0ubuntu1
2022-11-12 19:50:39 upgrade gnome-shell:arm64 42.4-0ubuntu0.22.04.1 42.5-0ubuntu1
2022-11-12 19:50:39 status half-configured gnome-shell:arm64 42.4-0ubuntu0.22.04.1
2022-11-12 19:50:39 status unpacked gnome-shell:arm64 42.4-0ubuntu0.22.04.1
2022-11-12 19:50:39 status half-installed gnome-shell:arm64 42.4-0ubuntu0.22.04.1
2022-11-12 19:50:39 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2022-11-12 19:50:39 status triggers-pending gnome-menus:arm64 3.36.0-1ubuntu3
2022-11-12 19:50:39 status triggers-pending desktop-file-utils:arm64 0.26-1ubuntu3
2022-11-12 19:50:40 status unpacked gnome-shell:arm64 42.5-0ubuntu1
2022-11-12 19:50:40 upgrade gnome-shell-common:all 42.4-0ubuntu0.22.04.1 42.5-0ubuntu1
2022-11-12 19:50:40 status half-configured gnome-shell-common:all 42.4-0ubuntu0.22.04.1
2022-11-12 19:50:40 status unpacked gnome-shell-common:all 42.4-0ubuntu0.22.04.1
2022-11-12 19:50:40 status half-installed gnome-shell-common:all 42.4-0ubuntu0.22.04.1
2022-11-12 19:50:40 status triggers-pending hicolor-icon-theme:all 0.17-2
2022-11-12 19:50:40 status unpacked gnome-shell-common:all 42.5-0ubuntu1
2022-11-12 19:50:41 upgrade libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.01 1:1.94.3+tod1-0ubuntu2~22.04.02
2022-11-12 19:50:41 status half-configured libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.01
2022-11-12 19:50:41 status unpacked libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.01
2022-11-12 19:50:41 status half-installed libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.01
2022-11-12 19:50:41 status triggers-pending udev:arm64 249.11-0ubuntu3.6
2022-11-12 19:50:41 status unpacked libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.02
2022-11-12 19:50:41 startup packages configure
2022-11-12 19:50:41 configure distro-info-data:all 0.52ubuntu0.2 <none>
2022-11-12 19:50:41 status unpacked distro-info-data:all 0.52ubuntu0.2
2022-11-12 19:50:41 status half-configured distro-info-data:all 0.52ubuntu0.2
2022-11-12 19:50:41 status installed distro-info-data:all 0.52ubuntu0.2
2022-11-12 19:50:41 configure gnome-shell-common:all 42.5-0ubuntu1 <none>
2022-11-12 19:50:41 status unpacked gnome-shell-common:all 42.5-0ubuntu1
